farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
25465,21897,HARYANA,KARNAL,Barota,8.0,8.01,76.9308257104857,29.628496970519127
25464,21897,HARYANA,KARNAL,Barota,3.5,3.58,76.9138523676106,29.619966615836233
25463,21897,HARYANA,KARNAL,Barota,4.5,4.41,76.91830467694558,29.6227173489535
25462,21897,HARYANA,KARNAL,Barota,7.5,7.51,76.92488798518961,29.617902906104725
25461,21897,HARYANA,KARNAL,Barota,5.0,5.3,76.92921432773262,29.621829174275277
9914,7522,HARYANA,KAITHAL,Bhunna,4.0,4.21,76.3211296630882,29.97908527759077
9913,7522,HARYANA,KAITHAL,Bhunna,6.0,6.53,76.31687603820157,29.979441185061503
25694,22222,HARYANA,KURUKSHETRA,Garhi kahran,49.0,47.37,76.71428734622579,29.978176770193823
25621,22113,HARYANA,FATEHABAD,Baliala,22.0,21.71,75.52668027771894,29.717147911763053
25165,21452,HARYANA,KARNAL,Bastli,8.0,8.17,76.72984258685977,29.739136966960437
15910,11241,HARYANA,YAMUNANAGAR,Bakana,8.0,7.65,77.1550640594526,30.05303146888579
25633,22122,HARYANA,KARNAL,Khukhni,11.0,10.14,77.18399731097772,29.95888002413949
25860,22425,HARYANA,KURUKSHETRA,Ramgarh,28.0,27.11,76.44785629723498,29.993102472239563
25866,22445,PUNJAB,BARNALA,Chiniwal khurd,5.5,5.59,75.452274789995,30.58750841578459
24783,20843,HARYANA,SIRSA,Panihari,26.0,22.76,75.14104059357011,29.636358333545008
25804,22368,PUNJAB,BARNALA,Gagewal,16.0,15.99,75.48182836283391,30.587977974538067
25595,22047,HARYANA,KURUKSHETRA,Mangoli jattan,10.0,9.87,77.03496463187481,30.12503587646159
25635,22124,HARYANA,KARNAL,Khukhni,11.0,10.28,77.18271904432672,29.956392230125427
