farm_id,control_plot_id,soil_class,equlidian_distance,similarity_weight,centroid
10696,10696_29,7,0.42865985,0.197156819,"30.25156585890015,74.81691287091192"
10696,10696_3,7,0.431642492,0.195794469,"30.26478091115715,74.81942237291717"
14209,14209_32,7,0.381420353,0.220569729,"29.967254096922147,76.36387206487565"
14209,14209_18,7,0.411001348,0.204694666,"29.958994388442864,76.35015161705684"
14209,14209_1,7,0.434483128,0.193631878,"29.96330630180664,76.3587754437844"
14209,14209_37,7,0.440019442,0.191195606,"29.95827573621557,76.35158892151142"
14209,14209_38,7,0.44300256,0.189908121,"29.966180910715824,76.34583970369306"
4550,4550_19,4,0.474281466,0.210808293,"30.00606610933073,76.71019638293195"
4550,4550_33,4,0.495707349,0.201696559,"30.000143594873304,76.71651517268741"
4550,4550_39,4,0.504166819,0.19831227,"29.999957565398713,76.71917953577314"
4550,4550_42,4,0.508305869,0.196697446,"30.003550826535186,76.71702357909125"
4550,4550_20,4,0.519428743,0.192485433,"29.99744228260318,76.71343031795479"
10251,10251_10,4,0.410064541,0.235263121,"30.901506784541073,74.52369698138503"
10251,10251_33,4,0.486716073,0.1982122,"30.895038914495405,74.52225967693045"
10251,10251_48,4,0.49520468,0.194814524,"30.902225436768365,74.52405630749868"
10251,10251_4,4,0.510686208,0.188908693,"30.898632175631885,74.52908687308974"
10251,10251_13,4,0.527747768,0.182801462,"30.884259131085972,74.52693091640786"
24651,24651_19,7,0.56311976,0.221840994,"30.028703654490545,77.045806973079"
24651,24651_34,7,0.622540481,0.200666545,"30.024391741126767,77.02568471071471"
24651,24651_10,7,0.627872925,0.19896231,"30.028344328376892,77.045806973079"
24651,24651_35,7,0.653623793,0.191123776,"30.029781632831487,77.03933910303334"
24651,24651_21,7,0.666589105,0.187406375,"30.02668209481057,77.03657189963266"
25229,25229_40,7,0.432676314,0.237347962,"30.100928203333755,77.02316942791919"
25229,25229_1,7,0.500734365,0.205088463,"30.101646855561043,77.02316942791919"
25229,25229_10,7,0.51055447,0.201143752,"30.09607873627329,77.02498239495976"
25229,25229_35,7,0.543878342,0.188819509,"30.09985022499281,77.03035595019215"
25229,25229_0,7,0.61273657,0.167600314,"30.090507746037968,77.01921684066907"
1831,1831_28,7,0.456049271,0.219116508,"29.478934700609393,74.75366569411963"
1831,1831_6,7,0.495847389,0.201529596,"29.48416974441772,74.76055999103404"
1831,1831_49,7,0.512147336,0.195115579,"29.47722378088557,74.75932404028359"
1831,1831_48,7,0.51682712,0.19334884,"29.475700765586563,74.75115041132409"
1831,1831_31,7,0.523485765,0.190889477,"29.47462278724562,74.74755715018762"
8024,8024_31,4,0.250369888,0.258012376,"29.95216719228356,76.67102983654434"
8024,8024_4,4,0.294825835,0.219107426,"29.950657646824972,76.66171315864014"
8024,8024_43,4,0.329751176,0.195900832,"29.946777300578837,76.66456196649868"
8024,8024_39,4,0.386497169,0.167138429,"29.94462134389696,76.66168735758949"
8024,8024_15,4,0.404142586,0.159840937,"29.95504180119274,76.65737544422572"
10453,10453_17,7,0.465248863,0.228855872,"30.24106538765639,74.81403248121245"
10453,10453_23,7,0.532721614,0.199869747,"30.24915047975846,74.81894926916746"
10453,10453_20,7,0.551933776,0.192912517,"30.249329888270296,74.81151719841692"
10453,10453_33,7,0.559966647,0.190145136,"30.24968921438394,74.81151719841692"
10453,10453_1,7,0.565703885,0.188216728,"30.250048540497584,74.82301563405366"
10452,10452_11,7,0.461893626,0.206990256,"30.254001127747717,74.82589024296283"
10452,10452_33,7,0.464106305,0.206003407,"30.247892583815702,74.82768687353108"
10452,10452_14,7,0.473152771,0.202064715,"30.242143365997336,74.81618843789434"
10452,10452_22,7,0.488270404,0.195808468,"30.259391019452437,74.81367315509881"
10452,10452_44,7,0.505503547,0.189133153,"30.25521771417836,74.81990716152438"
17671,17671_45,7,0.464245136,0.221821138,"30.164169599335768,76.95561611855341"
17671,17671_18,7,0.502259599,0.205032188,"30.16452892544941,76.94699229182586"
17671,17671_5,7,0.51589195,0.19961425,"30.163091620994816,76.96064668414446"
17671,17671_4,7,0.549021748,0.187568862,"30.16309162099482,76.95453814021246"
17671,17671_26,7,0.553761087,0.185963562,"30.173871404404252,76.94878892239409"
11610,11610_34,7,0.480275834,0.220464513,"30.2148345813601,75.05801491237932"
11610,11610_8,7,0.527907447,0.200572616,"30.200102210700546,75.05981154294756"
11610,11610_43,7,0.529760938,0.199870867,"30.20800738520079,75.06017086906122"
11610,11610_23,7,0.552668227,0.191586512,"30.20980401576904,75.07346593526619"
11610,11610_30,7,0.564696942,0.187505492,"30.21447525524646,75.05765558626567"
11837,11837_48,4,0.36525211,0.248981168,"29.501212919655558,76.85105221948189"
11837,11837_4,4,0.477456558,0.190469469,"29.50408752856474,76.84853693668634"
11837,11837_0,4,0.479393092,0.189700057,"29.495463701837195,76.84099108829975"
11837,11837_45,4,0.488690967,0.186090808,"29.498338310746377,76.84853693668634"
11837,11837_32,4,0.492214958,0.184758499,"29.497619658519078,76.84530300166352"
8186,8186_44,7,0.531096755,0.23752212,"30.11566057399331,76.98508085987253"
8186,8186_27,7,0.643634244,0.1959921,"30.11673855233425,76.98939277323629"
8186,8186_9,7,0.658472181,0.191575636,"30.121050465698026,76.98328422930429"
8186,8186_36,7,0.666973865,0.189133688,"30.11422326953872,76.97537905480402"
8186,8186_7,7,0.679026989,0.185776455,"30.12868625756673,76.98293444909612"
15893,15893_17,7,0.430792788,0.218039975,"30.16812218658589,74.88841298673755"
15893,15893_39,7,0.430792788,0.218039975,"30.168122186585894,74.88805366062391"
15893,15893_32,7,0.490879859,0.191350382,"30.155186446494564,74.89955209626063"
15893,15893_21,7,0.499065217,0.188211972,"30.165606903790355,74.88446039948744"
